tpp_australian_labor_party_percentage, tpp_swing, total_formal_votes, tpp_australian_labor_party_votes, tpp_liberal_national_coalition_percentage, tpp_liberal_national_coalition_votes, division_name, polling_place_name, polling_place_id
49.58,-3.34,2005,994,50.42,1011,"Aston","Bayswater","2942"
47.87,-1.67,635,304,52.13,331,"Aston","Bayswater South","83798"
45.83,-0.7,1248,572,54.17,676,"Aston","Bayswater West","2945"
45.01,-3.95,722,325,54.99,397,"Aston","Blackwood Park","2947"
56.0,-11.56,25,14,44.0,11,"Aston","BLV Aston PPVC","65510"
47.7,3.54,1545,737,52.3,808,"Aston","Boronia","2948"
41.85,3.63,13679,5725,58.15,7954,"Aston","Boronia ASTON PPVC","63158"
53.55,0.02,1027,550,46.45,477,"Aston","Boronia East","4273"
47.04,2.87,1401,659,52.96,742,"Aston","Boronia North","4274"
24.63,6.52,1267,312,75.37,955,"Aston","Divisional Office (PREPOLL)","30188"
48.13,2.51,1334,642,51.87,692,"Aston","Fairhills","2950"
51.17,0.62,854,437,48.83,417,"Aston","Ferntree Gully","4282"
51.83,-2.81,1256,651,48.17,605,"Aston","Ferntree Gully North","4283"
46.06,0.66,1663,766,53.94,897,"Aston","Ferntree Gully West","2951"
39.78,3.93,2768,1101,60.22,1667,"Aston","Heany Park","31743"
32.57,3.09,2306,751,67.43,1555,"Aston","Karoo","31744"
42.3,0.71,844,357,57.7,487,"Aston","Kent Park","2957"
41.05,5.2,1542,633,58.95,909,"Aston","Knoxfield","2956"
38.07,-0.56,2007,764,61.93,1243,"Aston","Knox Gardens","2958"
31.55,2.96,2070,653,68.45,1417,"Aston","Lysterfield","2959"
44.07,2.78,2083,918,55.93,1165,"Aston","Mountain Gate","2961"
39.24,3.46,1664,653,60.76,1011,"Aston","Park Ridge","11513"
40.94,0.65,1578,646,59.06,932,"Aston","Rowville","2963"
36.91,4.93,1043,385,63.09,658,"Aston","Rowville Central","38413"
37.33,6.65,876,327,62.67,549,"Aston","Rowville East","2964"
42.47,-0.39,511,217,57.53,294,"Aston","Rowville North","83810"
31.92,4.95,12039,3843,68.08,8196,"Aston","Rowville PPVC","83838"
41.4,3.68,2036,843,58.6,1193,"Aston","Scoresby","2965"
43.23,2.52,1367,591,56.77,776,"Aston","Studfield East","2969"
43.1,-1.47,1246,537,56.9,709,"Aston","Templeton","2970"
49.44,1.6,1525,754,50.56,771,"Aston","The Basin","4301"
56.1,1.31,893,501,43.9,392,"Aston","Upper Ferntree Gully (Aston)","4284"
40.57,-3.04,1627,660,59.43,967,"Aston","Wantirna","2971"
39.78,0.7,1855,738,60.22,1117,"Aston","Wantirna Central","2973"
40.98,-2.19,1142,468,59.02,674,"Aston","Wantirna South","2974"
35.99,0.87,8868,3192,64.01,5676,"Aston","Wantirna South PPVC","64690"
37.14,-3.85,1314,488,62.86,826,"Aston","Wantirna West","2952"
40.62,2.07,1189,483,59.38,706,"Aston","Watersedge","2966"
59.09,-1.8,2007,1186,40.91,821,"Ballarat","Bacchus Marsh","3252"
60.0,0.35,3010,1806,40.0,1204,"Ballarat","Darley","3276"
58.4,-0.57,1892,1105,41.6,787,"Ballarat","Maddingley","51057"
54.31,3.16,3677,1997,45.69,1680,"Ballarat","Melton BALLARAT PPVC","64713"
57.08,-5.03,431,246,42.92,185,"Ballarat","Myrniong","3316"
64.01,-12.39,1667,1067,35.99,600,"Bendigo","Kyneton","3298"
57.38,-5.77,1274,731,42.62,543,"Bendigo","Kyneton East","64652"
61.92,-5.76,625,387,38.08,238,"Bendigo","Malmsbury","3305"
54.18,-8.58,395,214,45.82,181,"Bendigo","Newham","3318"
56.25,-13.69,448,252,43.75,196,"Bendigo","Tylden","3336"
64.63,-8.18,1863,1204,35.37,659,"Bendigo","Woodend","3339"
70.37,-13.89,847,596,29.63,251,"Bendigo","Woodend East","82935"
50.82,4.65,2513,1277,49.18,1236,"Bruce","Berwick BRUCE PPVC","91155"
81.82,-15.15,11,9,18.18,2,"Bruce","BLV Bruce PPVC","65543"
69.44,0.85,962,668,30.56,294,"Bruce","Chandler (Bruce)","3957"
75.74,-2.82,1150,871,24.26,279,"Bruce","Cleeland","3958"
70.57,3.09,1400,988,29.43,412,"Bruce","Coomoora (Bruce)","31778"
62.04,-3.62,490,304,37.96,186,"Bruce","Cranbourne BRUCE PPVC","91143"
67.25,-1.23,1035,696,32.75,339,"Bruce","Dandenong","3962"
61.49,0.54,14569,8958,38.51,5611,"Bruce","Dandenong BRUCE PPVC","58781"
74.79,-5.12,1075,804,25.21,271,"Bruce","Dandenong West","3965"
61.29,-15.04,62,38,38.71,24,"Bruce","Divisional Office (PREPOLL)","30192"
72.99,4.89,1333,973,27.01,360,"Bruce","Doveton","65164"
67.64,6.09,995,673,32.36,322,"Bruce","Doveton West","4277"
62.07,3.41,1429,887,37.93,542,"Bruce","Endeavour Hills","4279"
60.0,1.96,425,255,40.0,170,"Bruce","Endeavour Hills Central","83362"
58.42,4.31,1900,1110,41.58,790,"Bruce","Endeavour Hills East","4280"
56.95,3.74,1050,598,43.05,452,"Bruce","Endeavour Hills North","4281"
64.85,3.34,1673,1085,35.15,588,"Bruce","Fountain Gate","4286"
59.33,3.71,2058,1221,40.67,837,"Bruce","Gleneagles","4287"
67.52,2.34,1955,1320,32.48,635,"Bruce","Hallam","4288"
66.76,0.39,1101,735,33.24,366,"Bruce","Hallam East","47812"
73.09,-0.45,1613,1179,26.91,434,"Bruce","Harrisfield","3997"
76.58,0.24,790,605,23.42,185,"Bruce","Heatherhill","3998"
68.07,2.12,1823,1241,31.93,582,"Bruce","Lyndale","3970"
58.86,1.91,2472,1455,41.14,1017,"Bruce","Maramba","31783"
61.24,-16.66,1726,1057,38.76,669,"Bruce","Mulgrave BRUCE PPVC","91128"
35.53,-3.34,577,205,64.47,372,"Bruce","Narre Warren North (Bruce)","64602"
73.91,-0.81,1326,980,26.09,346,"Bruce","Noble Park","3974"
69.85,3.11,1171,818,30.15,353,"Bruce","Noble Park South","3972"
71.48,-0.28,1213,867,28.52,346,"Bruce","Oakwood Park","3976"
54.93,2.69,1786,981,45.07,805,"Bruce","Rosewood Downs","3977"
72.62,2.48,946,687,27.38,259,"Bruce","Sandown Park (Bruce)","4006"
70.45,0.01,1699,1197,29.55,502,"Bruce","Silverton","3978"
73.48,5.36,460,338,26.52,122,"Bruce","Southvale","4007"
69.13,-0.17,541,374,30.87,167,"Bruce","Springvale (Bruce)","82870"
67.5,-5.97,10539,7114,32.5,3425,"Bruce","Springvale BRUCE PPVC","82837"
