retail_trade, block_id
0,926
0,925
0,924
0,410
1,409
0,414
1,353
2,301
0,318
0,319
0,302
0,305
0,303
0,304
0,308
0,306
0,307
0,324
2,326
0,352
0,325
0,317
0,328
1,327
0,332
0,330
0,331
3,343
3,333
0,329
2,334
0,339
0,340
3,335
1,315
0,336
5,337
0,1012
0,408
0,401
0,338
0,344
2,342
1,341
0,402
0,413
2,403
0,407
0,404
0,406
1,405
0,422
0,420
0,1009
0,909
0,907
0,911
0,908
1,906
1,274
0,272
0,241
1,258
1,240
1,361
0,364
1,365
1,359
6,360
0,923
0,910
0,912
0,914
1,915
2,378
0,271
0,913
0,916
0,917
0,918
0,921
9,270
6,931
0,351
0,349
0,919
5,920
1,376
0,377
0,373
0,374
0,372
0,380
0,379
0,922
1,239
5,363
1,357
0,366
0,375
0,367
1,369
0,368
0,371
0,348
1,370
8,346
9,354
0,347
8,345
4,423
1,355
2,424
4,356
0,432
3,434
4,358
10,435
0,433
0,425
0,259
0,262
7,260
4,362
5,261
1,125
106,113
0,312
0,350
0,421
0,1013
0,1016
0,1006
1,507
0,320
0,322
0,309
1,310
0,311
0,321
0,313
0,506
0,314
0,323
1,505
0,316
1,2385
0,2387
1,2390
0,2534
1,2540
2,2538
0,2533
0,2381
1,2382
1,2384
0,2386
0,2389
0,2388
3,2392
0,2391
1,2383
