sportsplayed, numberfieldcourts, postcode, objectid
"Australian Rules Football",1,3065,9049
"Australian Rules Football",1,3065,9055
"Basketball",2,null,9056
"Basketball",1,null,9057
"Basketball",1,null,9059
"Bocce",1,3065,9061
"Bocce",3,3054,9062
"Boxing",null,null,9063
"Boxing",null,null,9065
"Cricket",1,3065,9070
"Cricket",1,3065,9083
"Fitness / Gymnasium Workouts",null,3121,9088
"Fitness / Gymnasium Workouts",null,3121,9089
"Fitness / Gymnasium Workouts",1,3065,9097
"Fitness / Gymnasium Workouts",null,3065,9098
"Fitness / Gymnasium Workouts",null,3068,9099
"Fitness / Gymnasium Workouts",null,3053,9100
"Fitness / Gymnasium Workouts",1,3053,9101
"Fitness / Gymnasium Workouts",null,3065,9102
"Fitness / Gymnasium Workouts",null,3068,9106
"Fitness / Gymnasium Workouts",1,3121,9108
"Fitness / Gymnasium Workouts",null,3065,9109
"Fitness / Gymnasium Workouts",null,3065,9110
"Fitness / Gymnasium Workouts",null,3068,9113
"Fitness / Gymnasium Workouts",1,3065,9114
"Fitness / Gymnasium Workouts",null,3065,9115
"Fitness / Gymnasium Workouts",1,3065,9116
"Fitness / Gymnasium Workouts",1,3068,9117
"Fitness / Gymnasium Workouts",1,3121,9118
"Fitness / Gymnasium Workouts",null,null,9119
"Fitness / Gymnasium Workouts",null,3065,9120
"Fitness / Gymnasium Workouts",null,3065,9123
"Fitness / Gymnasium Workouts",null,3065,9128
"Fitness / Gymnasium Workouts",null,null,9132
"Fitness / Gymnasium Workouts",null,3068,9133
"Fitness / Gymnasium Workouts",1,3065,9134
"Fitness / Gymnasium Workouts",null,3065,9136
"Fitness / Gymnasium Workouts",1,3065,9137
"Fitness / Gymnasium Workouts",null,3065,9138
"Lawn Bowls",2,3065,9145
"Martial Arts",null,3065,9147
"Martial Arts",null,3066,9148
"Martial Arts",1,3066,9149
"Martial Arts",null,3065,9151
"Martial Arts",null,3065,9153
"Martial Arts",null,3121,9154
"Skating",1,3068,9160
"Soccer",1,3065,9164
"Soccer (Indoor Soccer / Futsal)",2,null,9175
"Soccer (Indoor Soccer / Futsal)",1,null,9176
"Soccer (Indoor Soccer / Futsal)",1,null,9177
"Squash / Racquetball",null,3065,9178
"Swimming",2,3065,9180
"Tennis (Indoor)",null,3121,9183
"Tennis (Outdoor)",6,3065,9184
"Volleyball",2,null,9189
"Fitness / Gymnasium Workouts",1,3162,3490
"Fitness / Gymnasium Workouts",1,3131,8632
"Aerobics",null,3032,6245
"Aerobics",null,3032,6252
"Aerobics",null,3032,6256
"Australian Rules Football",1,3032,6273
"Cricket",1,3031,6286
"Cricket",1,3032,6300
"Fitness / Gymnasium Workouts",null,3032,6303
"Fitness / Gymnasium Workouts",null,3032,6309
"Fitness / Gymnasium Workouts",null,3032,6311
"Fitness / Gymnasium Workouts",null,3032,6317
"Hockey",2,3032,6326
"Soccer",2,3031,6343
"Swimming",null,3032,6353
"Tennis (Outdoor)",2,3031,6363
"Athletics",1,3206,7197
"Australian Rules Football",2,3207,7200
"Australian Rules Football",1,3207,7202
"Badminton",18,3206,7204
"Baseball",1,3207,7206
"Basketball",10,3206,7207
"Basketball",null,3207,7208
"Basketball",2,3207,7209
"Cricket",1,3206,7214
"Cricket",1,3207,7217
"Cricket",1,3207,7218
"Cricket",1,3207,7220
"Cricket",1,3207,7221
"Fitness / Gymnasium Workouts",1,3206,7224
"Golf",1,3206,7228
"Gymnastics",null,3207,7229
"Gymnastics",null,3207,7230
"Hockey",1,3207,7232
"Lacrosse",1,3206,7233
"Lawn Bowls",1,3206,7234
"Lawn Bowls",3,3206,7235
"Lawn Bowls",2,3207,7236
"Sailing",null,3205,7240
"Sailing",null,3205,7241
"Sailing",null,3207,7243
"Skating",1,3207,7245
"Soccer",2,3207,7249
"Soccer",1,3207,7250
"Soccer",1,3206,7251
"Squash / Racquetball",10,3206,7253
"Surf Life Saving",null,3207,7255
"Surf Life Saving",null,3207,7256
"Surf Life Saving",null,3206,7257
"Swimming",7,3206,7259
"Table Tennis",18,3206,7260
"Table Tennis",null,3206,7261
"Tennis (Outdoor)",2,3206,7264
"Tennis (Outdoor)",2,3206,7265
"Tennis (Outdoor)",9,3206,7266
"Tennis (Outdoor)",3,3207,7269
"Volleyball",3,3206,7272
"Fitness / Gymnasium Workouts",1,3181,7771
"Fitness / Gymnasium Workouts",1,3181,7778
"Fitness / Gymnasium Workouts",1,3141,7780
"Fitness / Gymnasium Workouts",1,3199,2915
"Fitness / Gymnasium Workouts",null,null,5550
"Australian Rules Football",1,null,5492
"Australian Rules Football",2,null,5493
"Australian Rules Football",null,null,5494
"Australian Rules Football",1,null,5495
"Australian Rules Football",2,null,5496
"Australian Rules Football",1,null,5497
"Australian Rules Football",1,null,5498
"Australian Rules Football",2,null,5499
"Australian Rules Football",1,null,5500
"Australian Rules Football",4,null,5501
"Australian Rules Football",1,null,5502
"Badminton",null,null,5503
"Baseball",2,null,5504
"Basketball",null,null,5505
"Basketball",1,null,5506
"Basketball",null,null,5507
"Basketball",1,null,5508
"Basketball",1,null,5509
"BMX",1,null,5510
"Cricket",1,null,5511
"Cricket",5,null,5512
"Cricket",6,null,5513
"Cricket",null,null,5514
"Cricket",2,null,5515
"Cricket",1,null,5516
"Cricket",1,null,5517
"Cricket",1,null,5518
"Cricket",1,null,5519
"Cricket",3,null,5520
"Cricket",1,null,5521
"Cricket",2,null,5522
"Cricket",10,null,5523
"Cycling",null,null,5524
"Fitness / Gymnasium Workouts",1,3008,5526
"Fitness / Gymnasium Workouts",1,null,5527
"Fitness / Gymnasium Workouts",null,null,5528
"Fitness / Gymnasium Workouts",1,3000,5529
"Fitness / Gymnasium Workouts",1,null,5530
"Fitness / Gymnasium Workouts",1,3000,5531
"Fitness / Gymnasium Workouts",null,3000,5532
"Fitness / Gymnasium Workouts",1,null,5533
"Fitness / Gymnasium Workouts",1,null,5534
"Fitness / Gymnasium Workouts",1,3001,5535
"Fitness / Gymnasium Workouts",1,3006,5536
"Fitness / Gymnasium Workouts",1,null,5537
"Fitness / Gymnasium Workouts",1,null,5539
"Fitness / Gymnasium Workouts",null,3000,5540
"Fitness / Gymnasium Workouts",1,null,5541
"Fitness / Gymnasium Workouts",null,null,5542
"Fitness / Gymnasium Workouts",1,null,5543
"Fitness / Gymnasium Workouts",null,null,5544
"Fitness / Gymnasium Workouts",1,null,5545
"Fitness / Gymnasium Workouts",1,null,5546
"Fitness / Gymnasium Workouts",null,3000,5547
"Fitness / Gymnasium Workouts",1,null,5548
"Fitness / Gymnasium Workouts",1,null,5549
"Fitness / Gymnasium Workouts",2,null,5551
"Golf",9,null,5552
"Gridiron",1,null,5553
"Gridiron",1,null,5554
"Gymnastics",null,null,5555
"Gymnastics",null,3181,5556
"Hockey",1,3053,5557
"Hockey",2,null,5558
"Lacrosse",3,null,5559
"Lacrosse",1,null,5560
"Lawn Bowls",1,null,5561
"Lawn Bowls",1,null,5562
"Lawn Bowls",1,null,5563
"Lawn Bowls",2,null,5564
"Martial Arts",1,null,5565
"Netball",2,null,5566
"Netball",7,null,5567
"Netball (Indoor)",null,null,5568
"Netball (Indoor)",1,null,5569
"Netball (Indoor)",1,null,5570
"Netball (Indoor)",null,null,5571
"Rugby League",1,null,5572
"Rugby League",1,null,5573
"Rugby League",1,null,5574
"Rugby Union",1,null,5575
"Rugby Union",1,null,5576
"Rugby Union",2,null,5577
"Rugby Union",1,null,5578
"Rugby Union",2,null,5579
"Sailing",null,3008,5580
"Shooting Sports",null,3207,5581
"Skating",1,null,5582
"Soccer",1,null,5583
"Soccer",7,null,5584
"Soccer",1,null,5585
"Soccer",1,null,5586
"Soccer",1,null,5587
"Soccer",1,null,5588
"Soccer",null,null,5589
"Soccer",4,null,5590
"Soccer",4,null,5591
"Soccer",1,null,5592
"Soccer (Indoor Soccer / Futsal)",null,null,5593
"Soccer (Indoor Soccer / Futsal)",1,null,5594
"Soccer (Indoor Soccer / Futsal)",1,null,5595
"Soccer (Indoor Soccer / Futsal)",1,null,5596
"Softball",10,null,5597
"Squash / Racquetball",2,null,5598
"Swimming",null,null,5599
"Swimming",3,null,5600
"Swimming",2,null,5601
"Swimming",1,null,5602
"Swimming",1,null,5603
"Swimming",null,null,5604
"Team Handball",null,null,5605
"Tennis (Outdoor)",4,null,5606
"Tennis (Outdoor)",6,null,5607
"Tennis (Outdoor)",2,null,5608
"Tennis (Outdoor)",3,null,5609
"Tennis (Outdoor)",24,null,5610
"Tennis (Outdoor)",2,null,5611
"Tennis (Outdoor)",2,null,5612
"Tennis (Outdoor)",3,null,5613
"Tennis (Outdoor)",14,null,5614
"Touch Football",8,null,5615
"Touch Football",null,null,5616
"Touch Football",1,null,5617
"Touch Football",6,null,5618
"Volleyball",null,null,5619
"Volleyball",1,null,5620
