sportsplayed, numberfieldcourts, postcode, objectid
"Bocce",3,3054,9062
null,null,3056,6439
"Aerobics",null,3056,6441
"Aerobics",null,3056,6443
"Australian Rules Football",1,3057,6456
"Australian Rules Football",1,3056,6457
"Basketball",1,3056,6466
"Boxing",null,3056,6469
"Boxing",null,3056,6470
"Cricket",1,3056,6476
"Cricket",1,3057,6482
"Cricket",1,3056,6483
"Croquet",2,3056,6500
"Fitness / Gymnasium Workouts",1,3056,6503
"Fitness / Gymnasium Workouts",null,3056,6505
"Fitness / Gymnasium Workouts",null,3056,6507
"Fitness / Gymnasium Workouts",null,3056,6512
"Hockey",1,null,6514
"Lacrosse",1,3057,6515
"Lawn Bowls",2,3057,6516
"Netball",2,3056,6524
"Netball (Indoor)",1,3056,6525
"Soccer",1,3056,6531
"Soccer",1,3056,6532
"Soccer (Indoor Soccer / Futsal)",1,3056,6546
"Soccer (Indoor Soccer / Futsal)",2,3056,6547
"Swimming",null,3056,6549
"Tennis (Outdoor)",2,3056,6567
"Tennis (Outdoor)",6,3056,6568
